Author,Year,Country,EffiX,VE_any,VE_severe,VE_hosp,Incomplete VE_1 dose_any RVGE,Incomplete VE_1 dose_Severe RVGE,Incomplete VE_1 dose_hospitalization,Incomplete VE_2 dose_hospitalization,Age range,Any<12mo,Severe<12mo,Hosp <12mo,Any12-24mo,Severe12-24mo,Hosp12-24mo,Any>24mo,Severe>24mo,Hosp>24mo,RV incidence rate_any /100 infant,RV incidence rate_severe /100 infant,RV incidence rate_hospitalization /100 infant,Population density,U5 mortality rate,Crude birth rate,GDP per capita,% of population using safely managed drinking water,% of population using safely managed sanitation,Prevalence of undernourishment,Prevalence of HIV,Gini index,Progression to secondary school(female%),% of population living in extreme poverty (<$2/day),Income share held by lowest 20%,Urban population (% of total)
RV1 efficacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vesikari,2004,Finland,1,72,85,,,,,,6-12 weeks,73,90,,,,,,,,1.9,0.8,,16.994,4.2,11,24285.5,92.5,99,NULL,NULL,27.2,99.9,0,9.6,82.183
Salinas,2005,"Brazil, Mexico and Venezuela",1,70,86,,,,,,,,,,,,,,,,11.23,7.48,,,,,,,,,,,,,,
,,Brazil,1,,86,,,,,,,,,,,,,,,,11.23,7.48,,21.2,32.4,19.5,3156.8,NULL,26.8,10.1,0.4,58.4,NULL,11.5,2.5,81.6
,,Mexico,1,,86,,,,,,,,,,,,,,,,11.23,7.48,,51.595,27,23.4,7544.6,39.2,17.9,3.3,NULL,51,93.4,7.8,3.9,75
,,Venezuela,1,,86,,,,,,,,,,,,,,,,11.23,7.48,,27.942,20.9,23.5,4986.7,NULL,NULL,15.1,0.4,47.2,99.2,9.3,4,87.85
Ruiz-Palacios,2006,11 Latin American countries + Finland,1,,84.7,85,,,,,6-13 weeks,,84.7,85,,,,,,, ,1.33,1.02,,,,,,,,,,,,,
,,Argentina,1,,84.7,85,,,,,,,84.7,85,,,,,,,,1.33,1.02,13.917,17.7,19,3349.8,NULL,NULL,7.9,0.3,50.9,100,7.9,3.3,89.7
,,Brazil,1,,84.7,85,,,,,,,84.7,85,,,,,,,,1.33,1.02,21.752,28.3,18.4,3070.9,NULL,27.3,6.3,0.4,57.6,NULL,11,2.6,82.2
,,Chile,1,,84.7,85,,,,,,,84.7,85,,,,,,,,1.33,1.02,21.317,9.5,15.4,4772.6,93.4,49.2,3.2,0.2,51.5,NULL,4,4,86.7
,,Colombia,1,,84.7,85,,,,,,,84.7,85,,,,,,,,1.33,1.02,37.39,22.7,20.5,2281.4,69.4,13.9,9.8,0.4,53.6,99,12.1,3.5,75.4
,,Dominican Republic,1,,84.7,85,,,,,,,84.7,85,,,,,,,,1.33,1.02,183.2,37.8,23.6,2418.4,NULL,NULL,23.7,1.8,52.1,90.6,6.7,3.8,64.6
,,Honduras,1,,84.7,85,,,,,,,84.7,85,,,,,,,,1.33,1.02,63.5,32.1,31,1158.2,NULL,NULL,21.8,0.7,58.1,70,28.5,2.3,47.3
,,Mexico,1,,84.7,85,,,,,,,84.7,85,,,,,,,,1.33,1.02,53.027,24.7,22.6,7075.4,39.7,19.9,4.3,NULL,50,93.9,6.3,4.2,75.7
,,Nicaragua,1,,84.7,85,,,,,,,84.7,85,,,,,,,,1.33,1.02,44,32.9,25.6,1005.7,50.4,NULL,25,0.2,NULL,NULL,NULL,NULL,55.6
,,Panama,1,,84.7,85,,,,,,,84.7,85,,,,,,,,1.33,1.02,43.2,24.1,22.5,4267.3,NULL,NULL,21.1,NULL,55.7,66,11.1,2.5,63.1
,,Venezuela,1,,84.7,85,,,,,,,84.7,85,,,,,,,,1.33,1.02,28.968,19.8,22.8,3272.6,NULL,NULL,14.8,0.5,48.1,98.9,18.8,3.3,87.9
,,Finland,1,,84.7,85,,,,,,,84.7,85,,,,,,,,1.33,1.02,17.115,4,10.9,32855.1,94.3,99,2.5,NULL,27.7,100,0,9.4,82.6
,,Peru,1,,84.7,85,,,,,,,84.7,85,,,,,,,,1.33,1.02,21.4,30.6,22.5,2145.6,46.2,16.2,23.2,0.3,53.1,96.6,12,3.6,74.2
Linhares,2008,Latin American countries,1,,81,83,,,,,6-13 weeks,,83,,,79,,, ,,,1.36,1.08,,,,,,,,,,,,,
,,Argentina,1,,81,83,,,,,,,,,,79,,,,,,1.36,1.08,14.065,17.1,18.9,4277.7,NULL,NULL,4.1,0.3,48.4,100,5.7,3.6,89.9
Justino,2012,Brazil,1,,72.3,83,,,,,,,60.6,,,74.7,,,,,,1.36,1.08,22.015,26.4,17.8,3637.5,NULL,27.5,4.8,0.4,56.6,NULL,9.7,2.9,82.5
,,Chile,1,,81,83,,,,,,,83,,,74.7,,,,,,1.36,1.08,21.539,9.3,15.2,6194.6,93.9,51.1,3.3,0.2,NULL,98.2,NULL,NULL,86.7
,,Colombia,1,,81,83,,,,,,,83,,,74.7,,,,,,1.36,1.08,37.923,22.1,19.9,2782.6,69.8,14.1,11.2,0.4,55,99.2,75.6,,
,,Dominican Republic,1,,81,83,,,,,,,83,,,74.7,,,,,,1.36,1.08,185.8,37.1,23.2,2487.3,NULL,NULL,23.2,1.7,52.1,92,8.5,3.9,66
,,Honduras,1,,81,83,,,,,,,83,,,74.7,,,,,,1.36,1.08,65.1,30.6,30.1,1217.8,NULL,NULL,22.3,0.7,58.1,74,27.7,2.3,49.7
,,Mexico,1,,81,83,,,,,,,83,,,74.7,,,,,,1.36,1.08,53.764,23.7,22.2,7484.5,39.9,21.8,4.6,NULL,50,96.1,6,4.2,76
,,Nicaragua,1,,81,83,,,,,,,83,,,74.7,,,,,,1.36,1.08,44.6,31.3,25.3,1080.3,50.4,NULL,24.1,0.2,NULL,NULL,NULL,NULL,55.8
,,Panama,1,,81,83,,,,,,,83,,,74.7,,,,,,1.36,1.08,44,23.5,222.3,4592.2,NULL,NULL,21.4,NULL,54.8,66,10.1,2.6,63.4
,,Venezuela,1,,81,83,,,,,,,83,,,74.7,,,,,,1.36,1.08,29.473,19.1,22.5,4325.7,NULL,NULL,10.2,0.5,47.5,98.9,"15,8",3.3,88
Vesikari,2007,"EU(Czech Republic, Finland, France, Germany, Italy, Spain)",1,78.9,91,96,,,,,6-14 weeks,87.1,95.8,100,,,,,,,10.81,6.73,1.32,,,,,,,,,,,,,
,,Czech Republic,1,78.9,91,96,,,,,,,95.8,100,,,,,,,10.81,6.73,1.32,131.2,4.3,10,13430.7,96.8,85.2,2.5,NULL,26.9,99.8,0,9.3,73.6
,,Finland,1,78.9,91,96,,,,,,,95.8,100,,,,,,,10.81,6.73,1.32,17.223,3.8,11,39040.3,95.4,99.1,2.5,NULL,27.6,100,0.1,9.5,82.9
,,France,1,78.9,91,96,,,,,,,95.8,100,,,,,,,10.81,6.73,1.32,115.4,4.6,12.8,34760.2,97,89.2,2.5,0.3,29.8,NULL,0,8.6,77.1
,,Germany,1,78.9,91,96,,,,,,,95.8,100,,,,,,,10.81,6.73,1.32,236.5,4.7,8.3,34507.4,99.8,95.8,2.5,NULL,31.3,94.6,0,8.1,76.6
,,Italy,1,78.9,91,96,,,,,,,95.8,100,,,,,,,10.81,6.73,1.32,197.1,4.5,9.6,32043.1,89.2,NULL,2.5,0.2,33.8,98.7,0.6,6.8,67.7
,,Spain,1,78.9,91,96,,,,,,,95.8,100,,,,,,,10.81,6.73,1.32,87.5,4.7,10.6,26419.3,98.7,94.7,2.5,0.4,32.4,NULL,0.8,7,77.3
Tregnaghi,2011,Latin American,1,,81.6,88.3,,,,,6-12 weeks,,,,,,,,,, , , ,,,,,,,,,,,,,
,,Argentina,1,,81.6,88.3,,,,,,,,,,,,,,,,,,14.212,16.5,18.7,5109.9,NULL,NULL,3.8,0.3,47.7,,4.2,3.8,90
,,Brazil,1,,81.6,88.3,,,,,,,,,,,,,,,,,,22.269,24.7,17.2,4790.4,NULL,27,4.1,0.4,56.5,NULL,8.6,2.9,82.8
,,Colombia,1,,81.6,88.3,,,,,,,,,,,,,,,,,,38.439,21.5,19.3,3414.5,70.1,14.3,11.3,0.4,53.9,98.7,9.8,3.6,76
,,Dominican Republic,1,,81.6,88.3,,,,,,,,,,,,,,,,,,188.3,36.5,22.8,3932.8,NULL,NULL,19.3,1.7,50,98,5.7,4.1,67.4
,,Honduras,1,,81.6,88.3,,,,,,,,,,,,,,,,,,66.7,29.2,29.2,1308.1,NULL,NULL,22.4,0.6,59.5,74.3,27.1,1.9,48.6
,,Panama,1,,81.6,88.3,,,,,,,,,,,,,,,,,,44.8,22.9,22,4916.9,NULL,NULL,21.7,NULL,53.8,95.6,9.9,2.7,63.7
Phua,2009,Asia,1,,96.1,,,,,,"6-12 weeks in Hongkong, Taiwan
11-17 weeks in Singapore",,,,,,,,,,,0.97,,,,,,,,,,,,,,
,,HongKong,1,,96.1,,,,,,,,,,,,,,,,,0.97,,6469.3,NULL,7.2,24928.1,86.4,92.1,2.5,NULL,NULL,100,NULL,NULL,100
,,Singapore,1,,96.1,,,,,,,,,,,,,,,,,0.97,,6047.4,3,10.3,27608.5,100,100,NULL,0.2,NULL,96.5,NULL,NULL,100
,,Taiwan,1,,96.1,,,,,,,,,,,,,,,,,0.97,,,NULL,,,,,,,,,,,
